Plot,Species
118,Asclepias tuberosa
118,Koeleria cristata
118,Monarda fistulosa
118,Petalostemum purpureum
118,Quercus macrocarpa
118,Solidago rigida
125,Petalostemum purpureum
125,Schizachyrium scoparium
126,Bare ground
127,Lespedeza capitata
127,Quercus macrocarpa
129,Liatris aspera
130,Achillea millefolium(lanulosa)
130,Asclepias tuberosa
130,Elymus canadensis
130,Liatris aspera
130,Panicum virgatum
130,Petalostemum purpureum
130,Quercus macrocarpa
130,Schizachyrium scoparium
133,Lespedeza capitata
133,Monarda fistulosa
133,Petalostemum candidum
133,Petalostemum villosum
133,Schizachyrium scoparium
133,Solidago rigida
135,Schizachyrium scoparium
136,Achillea millefolium(lanulosa)
136,Agropyron smithii
136,Amorpha canescens
136,Andropogon gerardi
136,Asclepias tuberosa
136,Elymus canadensis
136,Lespedeza capitata
136,Liatris aspera
136,Lupinus perennis
136,Monarda fistulosa
136,Panicum virgatum
136,Petalostemum purpureum
136,Quercus ellipsoidalis
136,Quercus macrocarpa
136,Schizachyrium scoparium
136,Solidago rigida
136,Sorghastrum nutans
137,Amorpha canescens
138,Achillea millefolium(lanulosa)
138,Elymus canadensis
138,Koeleria cristata
138,Liatris aspera
139,Agropyron smithii
139,Elymus canadensis
139,Koeleria cristata
139,Lespedeza capitata
142,Koeleria cristata
146,Achillea millefolium(lanulosa)
146,Andropogon gerardi
146,Lespedeza capitata
146,Monarda fistulosa
146,Panicum virgatum
146,Poa pratensis
146,Quercus ellipsoidalis
146,Quercus macrocarpa
146,Solidago rigida
149,Monarda fistulosa
149,Petalostemum candidum
149,Petalostemum villosum
149,Quercus macrocarpa
149,Solidago rigida
149,Sorghastrum nutans
151,Quercus ellipsoidalis
153,Agropyron smithii
156,Achillea millefolium(lanulosa)
156,Agropyron smithii
156,Amorpha canescens
156,Andropogon gerardi
156,Asclepias tuberosa
156,Elymus canadensis
156,Koeleria cristata
156,Lespedeza capitata
156,Liatris aspera
156,Monarda fistulosa
156,Panicum virgatum
156,Petalostemum purpureum
156,Quercus ellipsoidalis
156,Quercus macrocarpa
156,Schizachyrium scoparium
156,Solidago rigida
156,Sorghastrum nutans
157,Agropyron smithii
157,Koeleria cristata
160,Achillea millefolium(lanulosa)
160,Agropyron smithii
160,Amorpha canescens
160,Andropogon gerardi
160,Asclepias tuberosa
160,Koeleria cristata
160,Lespedeza capitata
160,Liatris aspera
160,Lupinus perennis
160,Monarda fistulosa
160,Panicum virgatum
160,Petalostemum purpureum
160,Quercus ellipsoidalis
160,Quercus macrocarpa
160,Schizachyrium scoparium
160,Solidago rigida
160,Sorghastrum nutans
161,Quercus macrocarpa
163,Sorghastrum nutans
164,Agropyron smithii
164,Amorpha canescens
164,Andropogon gerardi
164,Asclepias tuberosa
164,Elymus canadensis
164,Koeleria cristata
164,Lespedeza capitata
164,Liatris aspera
164,Monarda fistulosa
164,Panicum virgatum
164,Petalostemum purpureum
164,Poa pratensis
164,Quercus ellipsoidalis
164,Quercus macrocarpa
164,Schizachyrium scoparium
164,Solidago rigida
164,Sorghastrum nutans
165,Poa pratensis
165,Sorghastrum nutans
166,Bare ground
167,Liatris aspera
168,Andropogon gerardi
168,Koeleria cristata
169,Achillea millefolium(lanulosa)
169,Agropyron smithii
169,Andropogon gerardi
169,Asclepias tuberosa
169,Elymus canadensis
169,Koeleria cristata
169,Lespedeza capitata
169,Liatris aspera
169,Lupinus perennis
169,Monarda fistulosa
169,Panicum virgatum
169,Petalostemum purpureum
169,Poa pratensis
169,Quercus ellipsoidalis
169,Quercus macrocarpa
169,Solidago rigida
169,Sorghastrum nutans
170,Achillea millefolium(lanulosa)
170,Asclepias tuberosa
170,Elymus canadensis
170,Koeleria cristata
170,Monarda fistulosa
170,Petalostemum candidum
170,Petalostemum purpureum
170,Petalostemum villosum
170,Quercus ellipsoidalis
170,Solidago rigida
171,Koeleria cristata
171,Lupinus perennis
174,Achillea millefolium(lanulosa)
174,Agropyron smithii
174,Amorpha canescens
174,Asclepias tuberosa
174,Elymus canadensis
174,Koeleria cristata
174,Lespedeza capitata
174,Liatris aspera
174,Lupinus perennis
174,Monarda fistulosa
174,Panicum virgatum
174,Petalostemum purpureum
174,Quercus ellipsoidalis
174,Quercus macrocarpa
174,Schizachyrium scoparium
174,Solidago rigida
174,Sorghastrum nutans
175,Lupinus perennis
175,Sorghastrum nutans
176,Agropyron smithii
176,Liatris aspera
176,Panicum virgatum
176,Poa pratensis
177,Andropogon gerardi
177,Asclepias tuberosa
177,Koeleria cristata
177,Liatris aspera
177,Petalostemum candidum
177,Petalostemum villosum
177,Quercus macrocarpa
177,Schizachyrium scoparium
177,Sorghastrum nutans
178,Achillea millefolium(lanulosa)
178,Agropyron smithii
178,Elymus canadensis
178,Koeleria cristata
178,Liatris aspera
178,Monarda fistulosa
178,Panicum virgatum
178,Schizachyrium scoparium
178,Solidago rigida
185,Petalostemum purpureum
186,Achillea millefolium(lanulosa)
186,Agropyron smithii
186,Amorpha canescens
186,Asclepias tuberosa
186,Elymus canadensis
186,Koeleria cristata
186,Lespedeza capitata
186,Lupinus perennis
186,Monarda fistulosa
186,Panicum virgatum
186,Petalostemum purpureum
186,Poa pratensis
186,Quercus ellipsoidalis
186,Quercus macrocarpa
186,Schizachyrium scoparium
186,Solidago rigida
186,Sorghastrum nutans
189,Quercus ellipsoidalis
189,Schizachyrium scoparium
